Date,Open,High,Low,Close,Volume,Adj Close
2012-04-12,31.84,32.08,30.81,32.08,8397000,32.08
2012-04-11,30.80,32.45,30.75,31.25,8821500,31.25
2012-04-10,31.95,32.70,30.88,31.00,9574900,31.00
2012-04-05,33.49,33.74,32.06,32.88,8663300,32.88
2012-04-04,34.01,34.38,32.84,33.19,10627600,33.19
2012-04-03,35.87,36.15,34.63,34.70,5889000,34.70
2012-04-02,35.78,36.00,34.36,35.70,6670700,35.70
2012-03-30,36.10,36.42,34.89,35.58,7251500,35.58
2012-03-29,36.70,37.33,35.60,35.69,6922700,35.69
2012-03-28,37.20,37.52,36.75,36.90,5176200,36.90
2012-03-27,37.96,38.49,37.15,37.38,5211400,37.38
2012-03-26,37.99,38.01,36.66,37.58,4660900,37.58
2012-03-23,37.05,37.88,36.65,37.46,5633100,37.46
2012-03-22,37.97,37.97,36.81,37.05,5757800,37.05
2012-03-21,38.58,38.96,37.44,38.00,4699200,38.00
2012-03-20,38.91,38.99,37.99,38.33,4511300,38.33
2012-03-19,38.96,39.25,38.61,39.06,4323600,39.06
2012-03-16,38.78,39.48,38.70,39.00,7960400,39.00
2012-03-15,38.64,39.06,38.14,38.94,6645300,38.94
2012-03-14,37.94,38.94,37.86,38.48,9956000,38.48
2012-03-13,36.88,37.50,36.85,37.42,5516700,37.42
2012-03-12,36.58,37.17,36.23,36.58,5210400,36.58
2012-03-09,37.42,37.60,36.78,36.94,5915100,36.94
2012-03-08,36.49,37.38,36.21,37.00,8399800,37.00
2012-03-07,35.00,35.86,34.98,35.67,5848100,35.67
2012-03-06,37.19,37.29,35.00,35.00,9580900,35.00
2012-03-05,37.53,37.85,37.01,37.40,4984900,37.40
2012-03-02,37.60,38.46,37.58,37.92,5772800,37.92
2012-03-01,36.50,37.58,36.01,37.35,6503900,37.35
2012-02-29,36.88,37.79,36.52,36.63,7444800,36.63
2012-02-28,36.80,37.26,36.01,36.62,5641600,36.62
2012-02-27,36.80,36.88,35.81,36.59,4843300,36.59
2012-02-24,36.72,37.26,36.36,36.92,4955400,36.92
2012-02-23,36.09,37.20,35.63,36.30,5815500,36.30
2012-02-22,37.76,38.00,36.33,36.40,6638600,36.40
2012-02-21,37.35,38.08,36.75,37.46,6361200,37.46
2012-02-20,37.40,37.86,36.53,37.17,6211800,37.17
2012-02-17,36.85,37.12,36.35,36.88,8661500,36.88
2012-02-16,34.28,36.03,33.90,35.85,8966000,35.85
2012-02-15,35.00,36.10,34.41,34.88,12365000,34.88
2012-02-14,33.62,34.22,32.79,33.51,7816900,33.51
2012-02-13,35.70,35.89,33.78,34.33,6490600,34.33
2012-02-10,35.78,36.53,34.80,35.05,6427800,35.05
2012-02-09,36.19,37.26,36.19,36.54,5640900,36.54
2012-02-08,36.44,37.10,36.07,36.15,7493000,36.15
2012-02-07,35.25,35.89,34.80,35.74,4215600,35.74
2012-02-06,34.81,35.20,34.06,34.99,4354900,34.99
2012-02-03,34.30,35.42,33.90,35.20,6988000,35.20
2012-02-02,34.22,34.48,33.35,34.10,4733700,34.10
2012-02-01,32.49,33.99,32.48,33.85,6637800,33.85
2012-01-31,33.10,33.49,32.30,32.37,5951800,32.37
2012-01-30,33.88,33.88,32.10,32.17,9262300,32.17
2012-01-27,35.00,35.09,34.17,34.64,6493600,34.64
2012-01-26,36.24,36.58,35.81,35.81,6363900,35.81
2012-01-25,35.59,36.08,34.16,35.79,6690200,35.79
2012-01-24,35.94,36.12,34.89,35.39,7974000,35.39
2012-01-23,35.88,36.60,35.42,36.05,8965100,36.05
2012-01-20,34.88,35.94,34.15,35.33,11530800,35.33
2012-01-19,32.99,35.04,32.50,34.70,14415200,34.70
2012-01-18,33.00,33.37,31.82,32.06,7340700,32.06
2012-01-17,33.10,33.87,32.15,32.49,7077700,32.49
2012-01-16,30.96,32.58,30.55,32.31,4479500,32.31
2012-01-13,31.94,32.69,31.20,31.79,8405200,31.79
2012-01-12,30.52,32.48,30.21,31.01,8569000,31.01
2012-01-11,29.83,30.55,29.51,30.00,5018400,30.00
2012-01-10,28.28,29.70,28.20,29.58,5036000,29.58
2012-01-09,28.60,29.06,27.51,27.90,4489700,27.90
2012-01-06,29.12,29.27,28.26,28.45,4327300,28.45
2012-01-05,30.75,30.80,28.72,29.00,5707800,29.00
2012-01-04,30.94,31.44,30.45,30.65,3604300,30.65
